id	category	text	image	option_1	option_2	option_3	option_4	option_5	answer	explanation	term_ids
1	法令	法別表第1に掲げる第4類の危険物の品名に該当しないものはどれか。	-	特殊引火物	第1石油類	アルコール類	アルキルアルミニウム	第4石油類	4	アルキルアルミニウムは「第3類（自然発火性物質及び禁水性物質）」の危険物です。第4類は「引火性液体」であり、特殊引火物、第1～4石油類、アルコール類、動植物油類が該当します。（法 別表第一）	"K150, K147"
2	法令	法令上、予防規程に関する説明として、最も適切なものはどれか。	-	保安監督者の責務のみを定めた規程	製造所等の点検についてのみ定めた規程	火災を予防するため保安に関し必要な事項を定めた規程	保安統括管理者の責務を定めた規程	危険物の危険性をまとめた規程	3	予防規程は、製造所等の火災を予防するため、保安に関し必要な事項（組織、巡視、点検、運転操作など）を定めたもので、市町村長等の認可が必要です。（法 第14条の2、規則 第60条の2）	"K017, K078"
3	法令	品名の異なる危険物A、B、Cを同一場所で貯蔵する場合の指定数量の倍数を求める計算式として、正しいものはどれか。	-	(A貯蔵+B貯蔵+C貯蔵)/(A指定+B指定+C指定)	(A貯蔵*B貯蔵*C貯蔵)/(A指定*B指定*C指定)	(A指定/A貯蔵)+(B指定/B貯蔵)+(C指定/C貯蔵)	(A貯蔵/A指定)+(B貯蔵/B指定)+(C貯蔵/C指定)	(A貯蔵/A指定)*(B貯蔵/B指定)*(C貯蔵/C指定)	4	異なる危険物を同一場所で貯蔵する場合、それぞれの数量をその指定数量で除し、その商の和が1以上となるときに指定数量以上とみなします。（法 第10条第2項）	"K086, K029"
4	法令	法令上、建築物等から保安距離を保たなければならない施設の組合せで、正しいものはどれか。	-	製造所・屋外タンク貯蔵所	屋内タンク貯蔵所・地下タンク貯蔵所	地下タンク貯蔵所・給油取扱所	移動タンク貯蔵所・第2種販売取扱所	製造所・第1種販売取扱所	1	保安距離が必要な施設は「製造所」「屋内貯蔵所」「屋外貯蔵所」「屋外タンク貯蔵所」「一般取扱所」の5つです。地下タンク、簡易タンク、移動タンク、給油取扱所、販売取扱所、移送取扱所には保安距離の規定はありません。（政令 第9条他）	"K026, K169, K076"
5	法令	法令上、第5種の消火設備のうち、すべての種類の危険物の消火に適応するものはどれか。	-	粉末消火器	霧状の強化液消火器	泡消火器	膨張真珠岩	ハロゲン化物消火器	4	第5種消火設備（簡易消火用具）のうち、「膨張真珠岩」や「乾燥砂」は、第1類から第6類まですべての危険物の消火に適応します。（政令 別表第五）	"K151, K016, K164"
6	法令	製造所の位置、構造及び設備の基準について、法令上「誤っている」ものはどれか。	-	漏れ、あふれ又は飛散を防止する構造とする	温度の変化が起る設備には温度測定装置を設ける	加熱又は乾燥する設備はすべて直火を用いる構造とする	圧力上昇の恐れがある設備には安全装置を設ける	静電気を有効に除去する装置を設ける	3	加熱又は乾燥する設備は、直火を用いない構造としなければなりません。ただし、安全な場所に設ける場合などは例外があります。（政令 第9条第1項第14号）	"K170, K037"
7	法令	製造所の設置等について、法令上「誤っている」ものはどれか。	-	保有空地を変更するときは市町村長等の許可が必要	完成検査済証を交付される前でも工事が終了すれば使用できる	構造を変更するときは市町村長等の許可が必要	完成検査済証を交付された後でなければ使用できない	申請には図面その他規則で定める書類を添付する	2	製造所等は、完成検査を受け、技術基準に適合していると認められた後（完成検査済証の交付後）でなければ使用できません。ただし、仮使用の承認を受けた場合は例外です。（法 第11条第5項）	"K062, K022, K058"
8	法令	市町村長等が製造所等の使用停止を命ずることができる事由に該当しないものはどれか。	-	予防規程を定めていないとき	危険物保安監督者を定めていないとき	自衛消防組織を置いていないとき	危険物施設保安員を定めていないとき	許可なく位置・構造・設備を変更したとき	4	危険物施設保安員を定めていないことは、使用停止命令の要件に含まれていません。他の選択肢はすべて使用停止命令の対象となり得ます。（法 第12条の2、第14条の3の2等）	"K021, K045"
9	法令	法令に定める定期点検の点検記録に記載しなければならない事項として、定められていないものはどれか。	-	点検をした製造所等の名称	点検の方法及び結果	点検年月日	点検に立ち会った危険物取扱者の氏名	点検を実施した日を市町村長等へ報告した年月日	5	点検記録の記載事項は「製造所等の名称」「方法及び結果」「点検年月日」「点検者・立会者の氏名」です。報告年月日は含まれません。また、定期点検結果の報告義務はありません（特定の場合を除く）。（規則 第62条の7）	"K066, K122"
10	法令	免状の書換え又は再交付に係る申請先の組合せとして、正しいものはどれか。	-	書換：居住地知事のみ／再交付：居住地知事のみ	書換：交付知事のみ／再交付：居住地知事のみ	書換：居住地・勤務地知事／再交付：交付・書換知事・居住地知事	書換：交付・居住地・勤務地知事／再交付：交付・書換知事	書換：交付・居住地知事／再交付：勤務地・交付知事	4	書換え申請は「交付した知事」または「居住地・勤務地の知事」に行えます。再交付申請は「交付した知事」または「書換えをした知事」にしか行えません。（令 第34条、第35条）	"K043, K098, K034"
11	法令	危険物保安監督者を定めなければならない製造所等に該当するものはどれか。	-	倍数30の屋外貯蔵所	倍数30超の危険物を容器に詰め替える一般取扱所	倍数30超の移動タンク貯蔵所	倍数30超の引火点40℃以上の販売取扱所	倍数30超の引火点40℃以上の屋内タンク貯蔵所	2	一般取扱所（指定数量の倍数が30を超えるもの等）は保安監督者の選任が必要です。移動タンク貯蔵所は選任不要です。（法 第13条、政令 第31条の2）	"K041, K191, K013"
12	法令	移動タンク貯蔵所による貯蔵、取扱い及び移送について、誤っているものはどれか。	-	完成検査済証を備え付けておかなければならない	危険等級IIIを移送する場合のみ取扱者の乗車が必要である	取扱者は免状を携帯していなければならない	引火点40℃未満の注入時は原動機を停止させなければならない	消防吏員から提示を求められたら提示しなければならない	2	危険物を移送する場合は、危険等級に関わらず、当該危険物を取り扱える危険物取扱者の乗車が必要です。（法 第16条の2）	"K132, K133, K015"
13	法令	保安に関する検査（保安検査）の対象となる製造所等の組合せとして、正しいものはどれか。	-	地下タンク・給油取扱所	屋外タンク貯蔵所・移送取扱所	地下タンク・屋外タンク貯蔵所	製造所・給油取扱所	製造所・移送取扱所	2	保安検査の対象は「屋外タンク貯蔵所（1万kL以上等）」と「移送取扱所」です。（法 第14条の3、政令 第8条の4）	"K024, K129, K134"
14	法令	運搬容器の外部に表示する注意事項として、正しいものはどれか。	-	第2類：衝撃注意	第3類：火気・衝撃注意	第4類：火気厳禁	第5類：取扱注意	第6類：火気注意	3	第4類危険物の注意事項は「火気厳禁」です。第2類（引火性固体）は「火気厳禁」、第5類は「火気厳禁・衝撃注意」などと定められています。（規則 第44条）	"K186, K115, K121"
15	法令	顧客に自ら給油等をさせる給油取扱所で、灯油の顧客用固定注油設備に施す彩色はどれか。	-	赤色	青色	白色	黄色	緑色	2	セルフスタンドのノズル等の色は、灯油＝青、軽油＝緑、ハイオク＝黄、レギュラー＝赤と決められています。（規則 第28条の2の5）	"K008, K012, K155"
36	法令	製造所等の設置又は変更の許可を取り消される事由に該当するものはどれか。	-	定期点検を行わなかったとき	保安講習を受けなかったとき	完成検査を受ける前に使用したとき	免状を携帯していなかったとき	標識を設置していなかったとき	3	許可の取消し事由には「無許可変更」「完成検査前使用」「措置命令違反」などがあります。（法 第12条の2）	"K175, K063"
37	法令	火気厳禁の掲示板の配色として、正しいものはどれか。	-	白地に黒文字	赤地に白文字	青地に白文字	黄地に黒文字	黒地に黄文字	2	「火気厳禁」および「火気注意」の掲示板は、赤地に白文字と定められています。（規則 第18条）	"K093, K121"
38	法令	屋外タンク貯蔵所の防油堤の容量は、タンク容量の何%以上必要か。	-	50%以上	100%以上	110%以上	120%以上	200%以上	3	防油堤の容量は、タンク容量の110％以上必要です。（政令 第22条第2項）	"K196, K076"
39	法令	第4類危険物のうち、特殊引火物の指定数量はいくらか。	-	50L	100L	200L	400L	1000L	1	特殊引火物は最も危険性が高く、指定数量は50Lです。（政令 別表第三）	"K084, K130"
40	法令	移動タンク貯蔵所の標識のサイズとして、正しいものはどれか。	-	0.3m平方	0.3m以上0.4m以下の平方	0.6m×0.3m	0.4m平方	1.0m平方	2	移動タンク貯蔵所（車両）に掲げる「危」の標識は、0.3m平方以上0.4m平方以下の地が黒色の板に黄色の反射塗料等で表示します。（規則 第17条）	"K132, K103"
41	法令	製造所の「標識」の配色として、正しいものはどれか。	-	白地に黒文字	黒地に白文字	赤地に白文字	白地に赤文字	黄地に黒文字	1	製造所等であることを示す標識は、地を白色、文字を黒色とします。（規則 第17条）	"K104, K169"
42	法令	保安監督者を選任した際、市町村長等に届け出る時期はいつか。	-	10日前まで	遅滞なく	あらかじめ	30日以内	事後でよい	2	危険物保安監督者の選任・解任は、遅滞なく（速やかに）届け出なければなりません。（法 第13条）	"K041, K190, K183"
43	法令	保安監督者になるために必要な実務経験の期間はどれか。	-	3ヶ月以上	6ヶ月以上	1年以上	2年以上	3年以上	2	危険物保安監督者になるには、甲種または乙種の免状と、6ヶ月以上の実務経験が必要です。（法 第13条）	"K041, K068"
44	法令	地下タンク貯蔵所の漏洩検査管の設置数として、正しいものはどれか。	-	1箇所以上	2箇所以上	3箇所以上	4箇所以上	6箇所以上	4	地下タンク貯蔵所には、漏えいを検知する管を4箇以上設ける必要があります。（規則 第24条の2）	"K053, K120"
45	法令	自衛消防組織を置かなければならない事業所の倍数はいくつか。	-	1000倍以上	2000倍以上	3000倍以上	12万倍以上	20万倍以上	3	第4類危険物を取り扱う事業所（移送取扱所を除く）で、最大数量が指定数量の3000倍以上の場合、自衛消防組織の設置義務があります。なお、12万倍以上になると化学消防車等の台数が増加します。（法第14条の4、政令第38条）	"K166, K086"
46	法令	市町村長等が、所有者等に対し設備の改修を命じることを何というか。	-	改修命令	停止命令	取消命令	改善命令	是正命令	1	製造所等の位置、構造、設備が技術基準に適合していない場合、市町村長等は修理・改造・移転（改修）を命じることができます。（法 第12条第2項）	"K091, K055"
47	法令	品名、数量、倍数を変更する場合の届出先はどこか。	-	消防長	市町村長等	知事	総務大臣	警察署長	2	品名、数量又は指定数量の倍数の変更届出は、市町村長等に行います。（法 第11条の4）	"K057, K077"
48	法令	第4類危険物のうち、第2石油類（非水溶性）の指定数量はいくらか。	-	200L	400L	1000L	2000L	4000L	3	第2石油類の非水溶性は1000L、水溶性は2000Lです。（政令 別表第三）	"K084, K143"
49	法令	運搬容器の表示事項に含まれないものはどれか。	-	品名	危険等級	数量	製造業者名	注意事項	4	運搬容器への表示事項は、品名、危険等級、化学名、数量、注意事項などです。製造業者名の表示義務はありません。（規則 第44条）	"K186, K167"
